Name,Category,Job Title,Company,Country,Qualified,Revenue,PersonScore,is_ops,is_exec,is_exec_ops,is_proc,is_sales
Sheetal Shah,Speaker,VP of Supply Chain and Chief Procurement Officer,PPL Electric,,,,37,TRUE,TRUE,TRUE,TRUE,FALSE
Jeff Adams,Attendee,VP of Strategic Sourcing & Inbound Logistics,Apothecary Products,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Clark Howard,Attendee,Chief Supply Chain and Procurement Officer,Butcher Box,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Terry Frizelle,Attendee,Head of Logistics Procurement,Dell Technologies,,Yes,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Randy Pappal,Attendee,VP Purchasing and Supply Chain,Gentex Corporation,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Jamie Hess,Attendee,"VP, Global Transportation Procurement",KBX,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Samia Kaci,Attendee,Vice President of Sourcing and Supply Chain AVD,Legrand,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Megan Hunter,Attendee,Executive Vice President Procurement and Supply Chain Operations,Martinrea International,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Chris Huggins,Attendee,Head of Logistics and Procurement,Operation BBQ Relief,United States,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Mohamed Saleh,Attendee,Head of Logistics & Real Estate Sourcing & Supply Chain,Owens Corning,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Miguel Miciano,Attendee,SVP Procurement & Logistics,Pomona Farming,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Lance Starks,Attendee,Vice President - Global Supply Chain & Sourcing,Shaw Industries,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Andrew Sylling,Attendee,"Head of Procurement, Logistics North America",Unilever,,,,34,TRUE,TRUE,TRUE,TRUE,FALSE
Sarah Clarke,Speaker,Chief Supply Chain & Technology Officer,AEO Inc,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Joyce Cruts,Speaker,VP Supply Chain & Operations,Acer,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Rasheed Mohamad,Speaker,"EVP, Global Operations & Business Technology",Alcatel-Lucent Enterprise,,Yes,$1.2B (2024 est.; projected $1.3B in 2025),29,TRUE,TRUE,TRUE,FALSE,FALSE
Linda Babilo,Speaker,"Vice President, Global Supply Chain",Arlon Graphics,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Gary Horsfield,Speaker,Chief Supply Chain Officer,BIC,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Rick Duley,Speaker,SVP Supply Chain,Babylist,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Michael Frey,Speaker,Chief Supply Chain Officer,Beiersdorf,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Gina Seit,Speaker,"SVP, Operations",Branch Furniture,,Yes,$10M (2024 est.; projected $12M in 2025),29,TRUE,TRUE,TRUE,FALSE,FALSE
Brad Blizzard,Speaker,"Former VP, Logistics Operations & Product Delivery",Bridgestone Americas,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Jeff Vertun,Speaker,SVP Global Supply Chain Collective,CBRE,United States,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Jesse Lydiatt,Speaker,VP Supply Chain,California Innovations,Canada,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
Marc Kalmes,Speaker,SVP Global Supply Chain,ChampionX,,,,29,TRUE,TRUE,TRUE,FALSE,FALSE
